global_step=44270, episodic_return=[-46.090916]
global_step=44455, episodic_return=[-51.36843]
global_step=44510, episodic_return=[-60.099503]
global_step=44625, episodic_return=[-21.544685]
global_step=44750, episodic_return=[-36.571133]
global_step=45065, episodic_return=[-81.56299]
global_step=45195, episodic_return=[-134.85962]
global_step=45245, episodic_return=[-8.495892]
global_step=45305, episodic_return=[-23.757893]
global_step=45470, episodic_return=[-91.64324]
global_step=45615, episodic_return=[-1014.4762]
global_step=45680, episodic_return=[-56.353592]
global_step=45695, episodic_return=[-6.6215854]
global_step=45800, episodic_return=[-30.48176]
global_step=45820, episodic_return=[-131.53487]
global_step=45985, episodic_return=[-36.6046]
global_step=46030, episodic_return=[-107.96977]
global_step=46115, episodic_return=[-1.2897056]
global_step=46140, episodic_return=[-30.467411]
global_step=46330, episodic_return=[-24.91646]
global_step=46645, episodic_return=[-15.763933]
global_step=46645, episodic_return=[-992.29895]
global_step=46710, episodic_return=[-59.675896]
global_step=46765, episodic_return=[-0.16524406]
global_step=46930, episodic_return=[-8.994515]
global_step=47065, episodic_return=[-113.98218]
global_step=47070, episodic_return=[-1031.6868]
global_step=47175, episodic_return=[-43.324158]
global_step=47280, episodic_return=[-52.04007]
global_step=47300, episodic_return=[-140.60329]
global_step=47310, episodic_return=[-41.3661]
global_step=47390, episodic_return=[-13.795353]
global_step=47460, episodic_return=[-69.02682]
global_step=47485, episodic_return=[-14.555213]
global_step=47585, episodic_return=[-16.69788]
global_step=47625, episodic_return=[-52.736526]
global_step=47660, episodic_return=[-69.1789]
global_step=47740, episodic_return=[-32.068947]
global_step=47840, episodic_return=[-19.457396]
global_step=48090, episodic_return=[-42.923523]
global_step=48100, episodic_return=[-64.330666]
global_step=48115, episodic_return=[-132.53824]
global_step=48245, episodic_return=[-33.09096]
global_step=48275, episodic_return=[-34.88511]
global_step=48415, episodic_return=[-15.939605]
global_step=48505, episodic_return=[-51.34041]
global_step=48515, episodic_return=[-135.32567]
global_step=48555, episodic_return=[-15.222769]
global_step=48635, episodic_return=[-22.289787]
global_step=48670, episodic_return=[-25.463535]
global_step=48840, episodic_return=[-46.137184]
global_step=48925, episodic_return=[-34.46991]
global_step=48985, episodic_return=[-63.085167]
global_step=49210, episodic_return=[-82.410706]
global_step=49410, episodic_return=[-95.966805]
global_step=49425, episodic_return=[-14.697766]
global_step=49465, episodic_return=[-251.9634]
global_step=49485, episodic_return=[-14.020154]
global_step=49770, episodic_return=[-43.413376]
global_step=49805, episodic_return=[-48.973]
global_step=49935, episodic_return=[-25.913395]
global_step=50050, episodic_return=[-25.394773]
global_step=50150, episodic_return=[-57.49684]
global_step=50295, episodic_return=[-68.98068]
global_step=50320, episodic_return=[-265.0242]
global_step=50350, episodic_return=[-12.552927]
global_step=50440, episodic_return=[-47.3552]
global_step=50515, episodic_return=[-28.793068]
global_step=50600, episodic_return=[-12.404927]
global_step=50630, episodic_return=[-12.74624]
global_step=50820, episodic_return=[-938.9152]
global_step=50860, episodic_return=[-29.682098]
global_step=51045, episodic_return=[-90.20631]
global_step=51115, episodic_return=[-24.325756]
global_step=51130, episodic_return=[-78.58415]
SPS: 486
global_step=51215, episodic_return=[-135.48679]
global_step=51380, episodic_return=[-177.88689]
global_step=51460, episodic_return=[-33.6533]
global_step=51535, episodic_return=[-19.61841]
global_step=51560, episodic_return=[-119.18392]
global_step=51570, episodic_return=[-64.6792]
global_step=51745, episodic_return=[-10.762922]
global_step=51745, episodic_return=[-110.10652]
global_step=51855, episodic_return=[-20.573978]
global_step=51920, episodic_return=[-16.103369]
global_step=51930, episodic_return=[-1035.425]
global_step=52015, episodic_return=[-32.016106]
global_step=52100, episodic_return=[-47.508965]
global_step=52165, episodic_return=[-4.897699]
global_step=52175, episodic_return=[-9.26415]
global_step=52370, episodic_return=[-130.5387]
global_step=52375, episodic_return=[-37.640125]
global_step=52485, episodic_return=[-33.49786]
global_step=52635, episodic_return=[-45.496967]
global_step=52640, episodic_return=[-34.01749]
global_step=52765, episodic_return=[-12.181957]
global_step=52970, episodic_return=[-67.34499]
global_step=53075, episodic_return=[-73.573235]
global_step=53165, episodic_return=[5.769938]
global_step=53295, episodic_return=[-72.39718]
global_step=53605, episodic_return=[-60.278896]
global_step=53740, episodic_return=[-23.802671]
global_step=53975, episodic_return=[-66.65368]
global_step=54040, episodic_return=[-48.01239]
global_step=54155, episodic_return=[-11.650674]
global_step=54215, episodic_return=[-13.974665]
global_step=54450, episodic_return=[-44.864628]
global_step=54625, episodic_return=[-153.23001]
global_step=54650, episodic_return=[-56.511353]
global_step=54860, episodic_return=[-43.53765]
global_step=55155, episodic_return=[-47.052387]
global_step=55235, episodic_return=[-16.462908]
global_step=55310, episodic_return=[-22.753975]
global_step=55415, episodic_return=[-42.199146]
global_step=55420, episodic_return=[-27.975248]
global_step=55545, episodic_return=[7.2328186]
global_step=55675, episodic_return=[-18.347784]
global_step=55820, episodic_return=[-30.969471]
global_step=55880, episodic_return=[-69.20283]
global_step=55890, episodic_return=[-23.44413]
global_step=55940, episodic_return=[-9.433294]
