global_step=9410, episodic_return=[93.45553]
global_step=9455, episodic_return=[112.76833]
global_step=9460, episodic_return=[86.70075]
global_step=9465, episodic_return=[149.19228]
global_step=9490, episodic_return=[76.66785]
global_step=9505, episodic_return=[230.2024]
global_step=9540, episodic_return=[81.55096]
global_step=9545, episodic_return=[81.4378]
global_step=9580, episodic_return=[86.86604]
global_step=9590, episodic_return=[124.419785]
global_step=9595, episodic_return=[86.56411]
global_step=9625, episodic_return=[81.25384]
global_step=9635, episodic_return=[86.75822]
global_step=9670, episodic_return=[76.512184]
global_step=9675, episodic_return=[76.61872]
global_step=9680, episodic_return=[98.95624]
global_step=9715, episodic_return=[76.646835]
global_step=9720, episodic_return=[94.88446]
global_step=9750, episodic_return=[76.55139]
global_step=9765, episodic_return=[81.79661]
global_step=9770, episodic_return=[94.066536]
global_step=9815, episodic_return=[98.173645]
global_step=9820, episodic_return=[98.22255]
global_step=9880, episodic_return=[113.4843]
global_step=9885, episodic_return=[108.34706]
global_step=9900, episodic_return=[145.1308]
global_step=9900, episodic_return=[81.428375]
global_step=9985, episodic_return=[97.70237]
global_step=9985, episodic_return=[81.30361]
global_step=9985, episodic_return=[81.34584]
global_step=10020, episodic_return=[134.78244]
global_step=10080, episodic_return=[93.181404]
global_step=10100, episodic_return=[112.55183]
global_step=10100, episodic_return=[272.74536]
global_step=10120, episodic_return=[99.04239]
global_step=10130, episodic_return=[144.70805]
global_step=10175, episodic_return=[92.373344]
global_step=10195, episodic_return=[92.88372]
global_step=10195, episodic_return=[94.13441]
global_step=10240, episodic_return=[103.58048]
SPS: 472
global_step=10280, episodic_return=[81.234146]
global_step=10290, episodic_return=[94.22543]
global_step=10310, episodic_return=[132.44847]
global_step=10320, episodic_return=[186.34204]
global_step=10340, episodic_return=[95.02474]
global_step=10385, episodic_return=[92.72021]
global_step=10390, episodic_return=[110.43015]
global_step=10415, episodic_return=[92.414894]
global_step=10425, episodic_return=[114.33305]
global_step=10440, episodic_return=[96.34696]
global_step=10530, episodic_return=[110.42759]
global_step=10530, episodic_return=[142.95198]
global_step=10545, episodic_return=[125.11523]
global_step=10545, episodic_return=[101.25167]
global_step=10565, episodic_return=[159.86652]
global_step=10630, episodic_return=[81.19739]
global_step=10640, episodic_return=[94.31303]
global_step=10650, episodic_return=[81.511314]
global_step=10695, episodic_return=[157.97719]
global_step=10725, episodic_return=[171.3758]
global_step=10735, episodic_return=[81.577644]
global_step=10740, episodic_return=[98.66893]
global_step=10770, episodic_return=[138.05823]
global_step=10820, episodic_return=[81.266335]
global_step=10825, episodic_return=[97.23122]
global_step=10830, episodic_return=[86.51049]
global_step=10865, episodic_return=[160.97093]
global_step=10880, episodic_return=[105.69072]
global_step=10905, episodic_return=[81.400635]
global_step=10910, episodic_return=[81.5591]
global_step=10965, episodic_return=[131.24934]
global_step=10975, episodic_return=[107.91783]
global_step=10985, episodic_return=[104.608604]
global_step=11015, episodic_return=[105.38744]
global_step=11070, episodic_return=[104.46098]
global_step=11070, episodic_return=[161.72522]
global_step=11070, episodic_return=[91.6812]
global_step=11075, episodic_return=[87.5194]
global_step=11095, episodic_return=[76.46347]
global_step=11150, episodic_return=[76.62697]
global_step=11160, episodic_return=[88.08876]
global_step=11185, episodic_return=[87.23166]
global_step=11185, episodic_return=[105.690094]
global_step=11190, episodic_return=[120.768105]
global_step=11230, episodic_return=[76.69141]
global_step=11275, episodic_return=[86.27199]
global_step=11275, episodic_return=[81.09553]
global_step=11300, episodic_return=[125.18458]
global_step=11315, episodic_return=[81.091705]
global_step=11345, episodic_return=[160.84377]
global_step=11365, episodic_return=[87.7558]
global_step=11420, episodic_return=[94.91817]
global_step=11435, episodic_return=[86.354774]
global_step=11445, episodic_return=[152.19524]
global_step=11455, episodic_return=[87.66378]
global_step=11495, episodic_return=[206.61423]
global_step=11505, episodic_return=[81.45194]
global_step=11525, episodic_return=[87.04312]
global_step=11595, episodic_return=[136.33107]
global_step=11600, episodic_return=[102.38217]
global_step=11605, episodic_return=[98.78243]
global_step=11610, episodic_return=[167.31142]
global_step=11630, episodic_return=[104.09084]
global_step=11715, episodic_return=[102.388145]
global_step=11720, episodic_return=[108.204735]
global_step=11720, episodic_return=[113.15622]
global_step=11725, episodic_return=[95.20344]
global_step=11725, episodic_return=[119.37107]
global_step=11795, episodic_return=[76.66836]
global_step=11815, episodic_return=[85.09118]
global_step=11820, episodic_return=[99.41185]
global_step=11850, episodic_return=[123.0145]
global_step=11895, episodic_return=[167.96817]
global_step=11905, episodic_return=[87.41164]
global_step=11905, episodic_return=[101.6418]
global_step=11910, episodic_return=[86.20586]
global_step=12005, episodic_return=[153.12866]
global_step=12020, episodic_return=[109.73327]
global_step=12035, episodic_return=[125.4474]
global_step=12045, episodic_return=[142.14175]
global_step=12060, episodic_return=[165.23502]
global_step=12090, episodic_return=[81.11424]
global_step=12100, episodic_return=[76.51761]
global_step=12150, episodic_return=[113.40168]
global_step=12170, episodic_return=[122.21116]
global_step=12190, episodic_return=[123.2362]
global_step=12220, episodic_return=[129.86632]
global_step=12230, episodic_return=[125.821846]
global_step=12260, episodic_return=[88.073944]
global_step=12285, episodic_return=[91.16444]
global_step=12305, episodic_return=[151.35591]
global_step=12310, episodic_return=[86.3872]
global_step=12335, episodic_return=[104.41251]
global_step=12390, episodic_return=[128.09445]
global_step=12420, episodic_return=[81.154854]
global_step=12425, episodic_return=[137.28976]
global_step=12440, episodic_return=[133.86244]
global_step=12440, episodic_return=[130.02888]
global_step=12495, episodic_return=[103.42514]
global_step=12520, episodic_return=[100.94365]
global_step=12530, episodic_return=[87.20937]
global_step=12555, episodic_return=[129.70006]
global_step=12580, episodic_return=[140.0036]
global_step=12585, episodic_return=[86.17409]
global_step=12605, episodic_return=[81.243835]
global_step=12635, episodic_return=[76.525764]
global_step=12670, episodic_return=[81.37227]
global_step=12675, episodic_return=[131.39528]
global_step=12680, episodic_return=[99.95165]
global_step=12745, episodic_return=[107.893166]
global_step=12760, episodic_return=[86.0169]
global_step=12815, episodic_return=[128.9482]
global_step=12840, episodic_return=[239.0455]
global_step=12840, episodic_return=[94.45591]
global_step=12860, episodic_return=[177.53996]
global_step=12880, episodic_return=[117.41893]
global_step=12935, episodic_return=[93.86754]
global_step=12965, episodic_return=[146.83296]
global_step=13005, episodic_return=[120.31674]
global_step=13035, episodic_return=[185.39279]
global_step=13035, episodic_return=[175.95097]
global_step=13050, episodic_return=[104.32517]
global_step=13060, episodic_return=[94.81308]
global_step=13085, episodic_return=[76.691216]
global_step=13125, episodic_return=[87.33003]
global_step=13155, episodic_return=[92.399796]
global_step=13155, episodic_return=[104.744514]
global_step=13170, episodic_return=[81.60788]
global_step=13205, episodic_return=[170.44354]
global_step=13205, episodic_return=[76.202126]
global_step=13240, episodic_return=[81.33921]
global_step=13270, episodic_return=[108.48715]
global_step=13285, episodic_return=[112.88503]
global_step=13345, episodic_return=[136.48376]
global_step=13375, episodic_return=[87.099976]
global_step=13395, episodic_return=[199.05017]
global_step=13400, episodic_return=[156.69693]
global_step=13430, episodic_return=[81.56956]
global_step=13465, episodic_return=[86.8097]
global_step=13485, episodic_return=[212.03264]
global_step=13490, episodic_return=[88.090126]
global_step=13555, episodic_return=[159.90857]
global_step=13560, episodic_return=[94.47189]
global_step=13570, episodic_return=[144.77881]
global_step=13625, episodic_return=[129.77658]
global_step=13645, episodic_return=[87.47679]
global_step=13660, episodic_return=[86.80197]
global_step=13680, episodic_return=[115.78907]
global_step=13690, episodic_return=[183.86739]
global_step=13745, episodic_return=[122.15569]
global_step=13765, episodic_return=[81.256325]
global_step=13815, episodic_return=[172.24988]
global_step=13820, episodic_return=[155.06622]
global_step=13830, episodic_return=[82.38709]
global_step=13845, episodic_return=[76.49638]
